,gvkey,fyear,conm,Symbol,CIK
0,1075,2019,PINNACLE WEST CAPITAL CORP,PNW,764622.0
15,1078,2019,ABBOTT LABORATORIES,ABT,1800.0
45,1161,2019,ADVANCED MICRO DEVICES,AMD,2488.0
48,1209,2019,AIR PRODUCTS & CHEMICALS INC,APD,2969.0
72,1209,2022,AIR PRODUCTS & CHEMICALS INC,APD,2969.0
81,1230,2019,ALASKA AIR GROUP INC,ALK,766421.0
93,1300,2019,HONEYWELL INTERNATIONAL INC,HON,773840.0
113,1327,2019,SKYWORKS SOLUTIONS INC,SWKS,4127.0
118,1327,2022,SKYWORKS SOLUTIONS INC,SWKS,4127.0
121,1440,2019,AMERICAN ELECTRIC POWER CO,AEP,4904.0
196,1447,2019,AMERICAN EXPRESS CO,AXP,4962.0
199,1598,2019,AMETEK INC,AME,1037868.0
247,1602,2019,AMGEN INC,AMGN,318154.0
256,1632,2019,ANALOG DEVICES INC,ADI,6281.0
282,1632,2022,ANALOG DEVICES INC,ADI,6281.0
290,1678,2019,APA CORP,APA,1841666.0
300,1690,2019,APPLE INC,AAPL,320193.0
312,1690,2022,APPLE INC,AAPL,320193.0
316,1704,2019,APPLIED MATERIALS INC,AMAT,6951.0
335,1704,2022,APPLIED MATERIALS INC,AMAT,6951.0
341,1878,2019,AUTODESK INC,ADSK,769397.0
361,1878,2022,AUTODESK INC,ADSK,769397.0
368,1913,2019,AVERY DENNISON CORP,AVY,8818.0
392,1988,2019,BALL CORP,BALL,9389.0
404,2019,2019,BANK OF NEW YORK MELLON CORP,BK,1390777.0
413,2086,2019,BAXTER INTERNATIONAL INC,BAX,10456.0
420,2111,2019,BECTON DICKINSON & CO,BDX,10795.0
438,2111,2022,BECTON DICKINSON & CO,BDX,10795.0
444,2136,2019,VERIZON COMMUNICATIONS INC,VZ,732712.0
456,2176,2019,BERKSHIRE HATHAWAY,BRK.B,1067983.0
465,2184,2019,BEST BUY CO INC,BBY,764478.0
468,2184,2022,BEST BUY CO INC,BBY,764478.0
469,2220,2019,BIO-RAD LABORATORIES INC,BIO,12208.0
472,2285,2019,BOEING CO,BA,12927.0
513,2285,2022,BOEING CO,BA,12927.0
526,2403,2019,BRISTOL-MYERS SQUIBB CO,BMY,14272.0
545,2435,2019,BROWN FORMAN CORP,BF.B,14693.0
585,2435,2022,BROWN FORMAN CORP,BF.B,14693.0
599,2547,2019,CIGNA GROUP (THE),CI,1739940.0
603,2663,2019,CAMPBELL SOUP CO,CPB,16732.0
611,2663,2022,CAMPBELL SOUP CO,CPB,16732.0
613,2710,2019,CONSTELLATION BRANDS,STZ,16918.0
619,2710,2022,CONSTELLATION BRANDS,STZ,16918.0
622,2751,2019,CARDINAL HEALTH INC,CAH,721371.0
634,2751,2022,CARDINAL HEALTH INC,CAH,721371.0
638,2817,2019,CATERPILLAR INC,CAT,18230.0
698,2968,2019,JPMORGAN CHASE & CO,JPM,19617.0
767,3026,2019,CHURCH & DWIGHT INC,CHD,313927.0
785,3121,2019,CLOROX CO/DE,CLX,21076.0
793,3121,2022,CLOROX CO/DE,CLX,21076.0
795,3170,2019,COLGATE-PALMOLIVE CO,CL,21665.0
810,3231,2019,COMERICA INC,CMA,28412.0
818,3243,2019,CITIGROUP INC,C,831001.0
839,3336,2019,DXC TECHNOLOGY CO,DXC,1688568.0
842,3336,2022,DXC TECHNOLOGY CO,DXC,1688568.0
843,3362,2019,CONAGRA BRANDS INC,CAG,23217.0
849,3362,2022,CONAGRA BRANDS INC,CAG,23217.0
851,3413,2019,CONSOLIDATED EDISON INC,ED,1047862.0
902,3439,2019,CMS ENERGY CORP,CMS,811156.0
929,3504,2019,COOPER COS INC (THE),COO,711404.0
938,3504,2022,COOPER COS INC (THE),COO,711404.0
941,3532,2019,CORNING INC,GLW,24741.0
958,3650,2019,CUMMINS INC,CMI,26172.0
991,3735,2019,DANAHER CORP,DHR,313616.0
1027,3813,2019,TARGET CORP,TGT,27419.0
1033,3813,2022,TARGET CORP,TGT,27419.0
1035,3835,2019,DEERE & CO,DE,315189.0
1095,3835,2022,DEERE & CO,DE,315189.0
1119,3897,2019,DTE ENERGY CO,DTE,936340.0
1131,3980,2019,DISNEY (WALT) CO,DIS,1744489.0
1165,3980,2022,DISNEY (WALT) CO,DIS,1744489.0
1171,4029,2019,DOMINION ENERGY INC,D,715957.0
1212,4058,2019,DOVER CORP,DOV,29905.0
1227,4060,2019,DUPONT DE NEMOURS INC,DD,1666700.0
1233,4066,2019,OMNICOM GROUP INC,OMC,29989.0
1297,4093,2019,DUKE ENERGY CORP,DUK,1326160.0
1324,4145,2019,PERKINELMER INC,PKI,31791.0
1348,4199,2019,EATON CORP PLC,ETN,1551182.0
1380,4213,2019,ECOLAB INC,ECL,31462.0
1478,4321,2019,EMERSON ELECTRIC CO,EMR,32604.0
1511,4321,2022,EMERSON ELECTRIC CO,EMR,32604.0
1525,4423,2019,EQUIFAX INC,EFX,33185.0
1579,4494,2019,EXPEDITORS INTL WASH INC,EXPD,746515.0
1582,4510,2019,FMC CORP,FMC,37785.0
1588,4517,2019,NEXTERA ENERGY INC,NEE,753308.0
1602,4598,2019,FEDEX CORP,FDX,1048911.0
1617,4598,2022,FEDEX CORP,FDX,1048911.0
1632,4973,2019,ARTHUR J GALLAGHER & CO,AJG,354190.0
1671,5046,2019,GENERAL DYNAMICS CORP,GD,40533.0
1749,5047,2019,GENERAL ELECTRIC CO,GE,40545.0
1835,5071,2019,GENERAL MILLS INC,GIS,40704.0
1864,5071,2022,GENERAL MILLS INC,GIS,40704.0
1872,5073,2019,GENERAL MOTORS CO,GM,1467858.0
1884,5125,2019,GENUINE PARTS CO,GPC,40987.0
1900,5256,2019,GRAINGER (W W) INC,GWW,277135.0
1956,5439,2019,HALLIBURTON CO,HAL,45012.0
1959,5492,2019,L3HARRIS TECHNOLOGIES INC,LHX,202058.0
2013,5518,2019,HASBRO INC,HAS,46080.0
2037,5543,2019,WELLTOWER INC,WELL,766704.0
2048,5568,2019,KRAFT HEINZ CO,KHC,1637459.0
2067,5597,2019,HERSHEY CO,HSY,47111.0
2074,5606,2019,HP INC,HPQ,47217.0
2083,5606,2022,HP INC,HPQ,47217.0
2086,5680,2019,HOME DEPOT INC,HD,354950.0
2089,5680,2022,HOME DEPOT INC,HD,354950.0
2090,5709,2019,HORMEL FOODS CORP,HRL,48465.0
2114,5709,2022,HORMEL FOODS CORP,HRL,48465.0
2119,5742,2019,CENTERPOINT ENERGY INC,CNP,1130310.0
2125,5783,2019,HUNT (JB) TRANSPRT SVCS INC,JBHT,728535.0
2128,5959,2019,TRANE TECHNOLOGIES PLC,TT,1466258.0
2134,6008,2019,INTEL CORP,INTC,50863.0
2146,6066,2019,INTL BUSINESS MACHINES CORP,IBM,51143.0
2155,6078,2019,INTL FLAVORS & FRAGRANCES,IFF,51253.0
2164,6104,2019,INTL PAPER CO,IP,51434.0
2200,6136,2019,INTERPUBLIC GROUP OF COS,IPG,51644.0
2215,6216,2019,JACOBS SOLUTIONS INC,J,52988.0
2261,6216,2022,JACOBS SOLUTIONS INC,J,52988.0
2264,6266,2019,JOHNSON & JOHNSON,JNJ,200406.0
2282,6304,2019,KLA CORP,KLAC,319201.0
2288,6304,2022,KLA CORP,KLAC,319201.0
2289,6338,2019,EVERGY INC,EVRG,1711269.0
2310,6375,2019,KELLOGG CO,K,55067.0
2322,6435,2019,KIMBERLY-CLARK CORP,KMB,55785.0
2328,6565,2019,LAM RESEARCH CORP,LRCX,707549.0
2340,6565,2022,LAM RESEARCH CORP,LRCX,707549.0
2344,6730,2019,LILLY (ELI) & CO,LLY,59478.0
2347,6774,2019,LOCKHEED MARTIN CORP,LMT,936468.0
2415,6774,2022,LOCKHEED MARTIN CORP,LMT,936468.0
2439,6781,2019,LOEWS CORP,L,60086.0
2443,7017,2019,MARATHON OIL CORP,MRO,101778.0
2469,7063,2019,HOST HOTELS & RESORTS INC,HST,1070750.0
2550,7065,2019,MARSH & MCLENNAN COS,MMC,62709.0
2553,7085,2019,MASCO CORP,MAS,62996.0
2565,7146,2019,MCCORMICK & CO INC,MKC,63754.0
2577,7146,2022,MCCORMICK & CO INC,MKC,63754.0
2581,7163,2019,S&P GLOBAL INC,SPGI,64040.0
2605,7171,2019,MCKESSON CORP,MCK,927653.0
2611,7171,2022,MCKESSON CORP,MCK,927653.0
2613,7228,2019,MEDTRONIC PLC,MDT,1613103.0
2649,7228,2022,MEDTRONIC PLC,MDT,1613103.0
2661,7241,2019,CVS HEALTH CORP,CVS,64803.0
2675,7257,2019,MERCK & CO,MRK,310158.0
2706,7343,2019,MICRON TECHNOLOGY INC,MU,723125.0
2731,7343,2022,MICRON TECHNOLOGY INC,MU,723125.0
2739,7366,2019,ENTERGY CORP,ETR,65984.0
2757,7435,2019,3M CO,MMM,66740.0
2794,7585,2019,MOTOROLA SOLUTIONS INC,MSI,68505.0
2826,7637,2019,VIATRIS INC,VTRS,1792044.0
2844,7875,2019,NEWELL BRANDS INC,NWL,814453.0
2877,7881,2019,NEWMONT CORP,NEM,1164727.0
2884,7906,2019,NIKE INC  -CL B,NKE,320187.0
2920,7906,2022,NIKE INC  -CL B,NKE,320187.0
2934,7921,2019,NORDSON CORP,NDSN,72331.0
2937,7921,2022,NORDSON CORP,NDSN,72331.0
2938,7923,2019,NORFOLK SOUTHERN CORP,NSC,702165.0
2957,7970,2019,EVERSOURCE ENERGY,ES,72741.0
3035,7974,2019,NISOURCE INC,NI,1111711.0
3062,7977,2019,XCEL ENERGY INC,XEL,72903.0
3098,7985,2019,NORTHROP GRUMMAN CORP,NOC,1133421.0
3166,7985,2022,NORTHROP GRUMMAN CORP,NOC,1133421.0
3190,8068,2019,OCCIDENTAL PETROLEUM CORP,OXY,797468.0
3213,8099,2019,FIRSTENERGY CORP,FE,1031296.0
3225,8247,2019,PPG INDUSTRIES INC,PPG,79879.0
3249,8253,2019,PACCAR INC,PCAR,75362.0
3276,8264,2019,PG&E CORP,PCG,1004980.0
3312,8272,2019,SEMPRA ENERGY,SRE,1032208.0
3338,8358,2019,PARKER-HANNIFIN CORP,PH,76334.0
3353,8358,2022,PARKER-HANNIFIN CORP,PH,76334.0
3358,8455,2019,PPL CORP,PPL,922224.0
3408,8463,2019,PENTAIR PLC,PNR,77360.0
3423,8479,2019,PEPSICO INC,PEP,77476.0
3432,8530,2019,PFIZER INC,PFE,78003.0
3458,8539,2019,EXELON CORP,EXC,1109357.0
3573,8543,2019,ALTRIA GROUP INC,MO,764180.0
3581,8762,2019,PROCTER & GAMBLE CO,PG,80424.0
3587,8762,2022,PROCTER & GAMBLE CO,PG,80424.0
3589,9203,2019,ROCKWELL AUTOMATION,ROK,1024478.0
3620,9203,2022,ROCKWELL AUTOMATION,ROK,1024478.0
3633,9465,2019,SCHLUMBERGER LTD,SLB,87347.0
